Customer ID,Age,Gender,Loyalty Member
19033,47,Female,No
1402,77,Male,No
14264,36,Male,No
9976,36,Female,No
19471,54,Female,No
5015,34,Male,No
15639,18,Male,No
2022,37,Male,No
17677,76,Female,Yes
16418,76,Male,No
11269,65,Male,No
4910,77,Female,No
2839,47,Male,No
7907,32,Female,No
11990,18,Female,No
17211,41,Female,No
16405,65,Female,Yes
14449,53,Male,No
4426,32,Female,No
18070,70,Male,Yes
16863,33,Male,No
9479,50,Female,Yes
4399,25,Male,Yes
18200,31,Male,No
3255,55,Female,No
2164,29,Female,No
19882,22,Male,No
17974,61,Female,No
11809,36,Female,No
11351,78,Female,No
18352,78,Male,No
13636,57,Male,No
11827,39,Female,Yes
17930,74,Male,No
1234,58,Male,No
14793,41,Male,No
16885,79,Male,No
13932,38,Female,No
4902,47,Male,No
2621,30,Female,No
13934,44,Male,No
15385,23,Female,No
11631,47,Male,No
13413,24,Female,No
16731,53,Female,Yes
9331,38,Male,No
12883,51,Female,No
19341,36,Male,Yes
6276,57,Female,No
2671,78,Male,No
5128,57,Female,No
5838,34,Female,Yes
11209,53,Female,No
17128,34,Female,No
6964,45,Male,No
1038,56,Female,No
2082,19,Male,Yes
18014,28,Female,No
18883,53,Male,Yes
4335,56,Male,Yes
6574,42,Male,No
11730,78,Male,No
17311,31,Male,No
14815,78,Female,No
17250,78,Male,No
16990,23,Female,No
2859,63,Female,No
19984,62,Male,No
9507,63,Female,Yes
15491,66,Female,Yes
18662,43,Male,No
7055,58,Male,No
6557,60,Male,Yes
3294,26,Female,No
6548,65,Male,No
8493,43,Female,No
7812,78,Female,No
18955,55,Female,No
3704,74,Male,No
12532,51,Male,No
8917,58,Male,Yes
9202,58,Male,No
11578,65,Female,No
6678,35,Female,No
3001,22,Female,No
4048,68,Male,No
4679,73,Female,No
7766,24,Female,No
3593,72,Female,No
6281,21,Female,Yes
1375,45,Female,No
6139,49,Female,No
12441,68,Male,No
12550,55,Male,No
1673,43,Male,Yes
6071,57,Male,Yes
12109,56,Male,No
15245,40,Male,No
13435,59,Male,No
2486,65,Female,No
18690,73,Female,No
16513,75,Female,No
15345,66,Female,No
18871,33,Male,No
4436,75,Female,Yes
17729,19,Female,Yes
2460,72,Male,Yes
6231,59,Male,Yes
17192,69,Female,Yes
19182,80,Male,No
3420,69,Male,Yes
3165,28,Male,No
14021,61,Male,No
4391,47,Female,No
17701,39,Female,No
5070,18,Female,Yes
15480,31,Male,No
12134,72,Male,No
19339,64,Female,No
7440,52,Male,Yes
14289,43,Female,No
15125,60,Male,No
12700,40,Female,Yes
19969,67,Male,No
14521,19,Female,No
15941,68,Male,No
16911,74,Female,No
6397,30,Male,Yes
5828,52,Female,No
4442,71,Male,No
19772,48,Female,No
1698,42,Female,No
14633,30,Female,No
9100,18,Male,No
15394,40,Male,No
2587,28,Female,No
2879,55,Male,No
1197,77,Female,No
4791,46,Male,No
16509,53,Male,No
3393,50,Male,No
12151,25,Male,No
12473,50,Male,No
15088,27,Female,Yes
13870,60,Male,No
18398,26,Female,No
14690,18,Male,No
6242,76,Male,No
14213,50,Male,Yes
12458,46,Female,No
9215,45,Male,No
3122,72,Male,No
18266,26,Female,Yes
17091,71,Female,Yes
2547,60,Female,No
2898,37,Male,No
19901,80,Female,Yes
19672,25,Female,No
13609,55,Male,Yes
13463,55,Male,No
16216,50,Female,No
11476,24,Female,No
6186,68,Female,No
2147,61,Male,No
18788,27,Male,Yes
2556,35,Female,No
5816,21,Female,No
11560,54,Male,No
8993,76,Male,Yes
17682,59,Male,No
15059,38,Male,Yes
14717,59,Male,No
7718,62,Male,No
16970,23,Female,No
1265,29,Female,No
19214,80,Male,Yes
15779,58,Male,No
8526,78,Male,No
6403,61,Male,No
9497,39,Female,No
1139,56,Female,No
5034,60,Male,No
15231,68,Female,No
19223,69,Female,No
8194,33,Female,No
5981,53,Female,No
2720,28,Female,No
19820,32,Female,Yes
13190,50,Male,No
6297,21,Female,Yes
9318,50,Male,Yes
2881,64,Female,Yes
1422,62,Female,Yes
6489,39,Male,No
12477,76,Male,No
1216,35,Female,Yes
1799,73,Female,No
16139,58,Female,No
1327,80,Male,No
14267,21,Female,Yes
6168,38,Female,No
12408,75,Female,No
2300,36,Male,No
11062,58,Female,No
18679,43,Female,No
13776,52,Male,No
11829,66,Female,No
5371,25,Female,No
17367,23,Female,Yes
5281,76,Male,No
3792,80,Female,No
6280,26,Female,Yes
