order_id,Customer ID,product_id,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total
1,19033,10,4,Completed,Bank Transfer,4718.46,786.41,6,2024-09-23,Standard,"Impulse Item, Impulse Item",187.94
2,1402,6,2,Cancelled,Paypal,3955.95,791.19,5,2024-09-23,Overnight,"Accessory,Accessory,Extended Warranty",99.39
3,14264,8,2,Completed,Credit Card,11396.8,1139.68,10,2024-09-23,Standard,"Impulse Item, Impulse Item",163.65
4,9976,4,3,Completed,Paypal,2223.27,247.03,9,2024-09-23,Overnight,Accessory,8.97
5,19471,10,3,Cancelled,Credit Card,3145.64,786.41,4,2024-09-23,Same Day,"Extended Warranty, Extended Warranty",145.55
6,5015,7,3,Completed,Cash,3247.72,463.96,7,2024-09-23,Express,,0.0
7,15639,8,3,Completed,PayPal,10257.12,1139.68,9,2024-09-23,Standard,,0.0
8,2022,6,2,Completed,Credit Card,5538.33,791.19,7,2024-09-23,Express,"Accessory,Accessory",29.44
9,17677,8,4,Completed,Bank Transfer,4558.72,1139.68,4,2024-09-23,Standard,"Impulse Item, Impulse Item, Impulse Item",183.48
10,16418,10,1,Cancelled,Bank Transfer,7077.69,786.41,9,2024-09-23,Same Day,Extended Warranty,66.74
11,11269,8,5,Completed,PayPal,10257.12,1139.68,9,2024-09-23,Standard,,0.0
12,4910,7,3,Cancelled,Cash,4639.6,463.96,10,2024-09-23,Standard,Impulse Item,5.66
13,2839,3,5,Completed,Debit Card,186.75,20.75,9,2024-09-23,Overnight,"Accessory,Impulse Item",53.86
14,7907,3,5,Completed,Cash,62.25,20.75,3,2024-09-23,Overnight,,0.0
15,11990,10,2,Cancelled,PayPal,4718.46,786.41,6,2024-09-23,Same Day,Accessory,36.03
16,17211,2,3,Completed,PayPal,6068.88,674.32,9,2024-09-23,Expedited,"Accessory, Impulse Item, Impulse Item",204.37
17,16405,1,3,Cancelled,PayPal,722.36,361.18,2,2024-09-23,Standard,"Impulse Item, Accessory",172.77
